PracticeCode_Mapped,Practice_Name,Locality,ID
B81036,Pocklington Group Practice,Central,1
B82002,Millfield Surgery,North,2
B82005,Priory Medical Group,Central,3
B82018,Escrick Surgery,South,4
B82021,Dalton Terrace Surgery,Central,5
B82026,Haxby Group Practice,Central,6
B82031,Sherburn Group Practice,South,7
B82033,Pickering Medical Practice,North,8
B82041,Beech Tree Surgery,South,9
B82047,Unity,Central,10
B82064,Tollerton Surgery,North,11
B82068,Helmsley Surgery,North,12
B82071,The Old School Medical Practice,Central,13
B82073,South Milford Surgery,South,14
B82074,Posterngate Surgery,South,15
B82077,Kirkbymoorside Surgery,North,16
B82079,Stillington Surgery,North,17
B82080,MyHealth,Central,18
B82081,Elvington Medical Practice,Central,19
B82083,York Medical Group,Central,20
B82097,Scott Road Medical Centre,South,21
B82098,Jorvik Gillygate Practice,Central,22
B82100,Front Street Surgery,Central,23
B82103,East Parade Medical Practice,Central,24
B82105,Tadcaster Medical Centre,South,25
B82619,Terrington Surgery,North,26
V81998,No Registered Practice,None,27
V81999,Practice code not known,None,28
